Date,Site,Count
1/1/2019,E - Camelback - Cholla Trail ,
1/1/2019,E - Camelback - Echo Canyon Trail,1259
1/1/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,588
1/1/2019,E - Dreamy Draw Park - Trail 100,181
1/1/2019,E - Papago - 5K Fitness,264
1/1/2019,E - Papago - Archery,46
1/1/2019,E - Papago - Hole In The Rock,702
1/1/2019,E - PMP - 32nd St. Trailhead,477
1/1/2019,E - PMP - 40th St. Trailhead - East Access,393
1/1/2019,E - PMP - 40th St. Trailhead - Wash - West Access,332
1/1/2019,E - PMP - Piestewa Summit Trail,1175
1/1/2019,E - PMP - Trail 200,
1/1/2019,E - PMP - Trail 304,426
1/1/2019,E - PMP - Trail8B - 7000 N. 36th,
1/1/2019,N - 25th St. and Acoma-Shadow Mtn N,50
1/1/2019,N - 7th Ave - Peoria-Mtn. View Park Access,187
1/1/2019,N - Apache Wash Replacement,
1/1/2019,N - Carefree Bridge - Cave Creek Wash,108
1/1/2019,N - Deem Hills - East - 39th Ave TH,151
1/1/2019,N - Deem Hills - West - 51st Ave TH,282
1/1/2019,N - Desert Hills - North - Ocotillo Trail,118
1/1/2019,N - Desert Hills - South - Sidewinder Trail,213
1/1/2019,N - Desert Vista TH - Hawk,320
1/1/2019,N - Lookout Mountain - 306 - North Side TH,866
1/1/2019,N - NMVC,321
1/1/2019,N - North Mountain - 44-Tower Road,0
1/1/2019,N - Shaw Butte TH,293
1/1/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/1/2019,N-NM TOWER TR 44 REPL,
1/1/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/1/2019,RIO SALADO 2875 S. 7th Street SE,
1/1/2019,RIO SALADO 3201 S. 16th Street SE,
1/1/2019,RIO-16ST-SE-REPL,
1/1/2019,RIO-7TH ST SE-REPL,
1/1/2019,RIO-CENT-NEGW-REPL,
1/1/2019,South Mountain- Desert Classic Trail,531
1/1/2019,South Mountain-620 Trailhead,434
1/1/2019,South Mountain-Hau'Pal,
1/1/2019,South Mountain-Holbert Trail,228
1/1/2019,South Mountain-Judith Tunell Trail,134
1/1/2019,South Mountain-Kiwanis Trail ,
1/1/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/1/2019,South Mountain-Mormon Trail,1048
1/1/2019,South Mountain-Pima Dirt Rd. ,1288
1/1/2019,South Mountain-Pima West Loop,850
1/1/2019,South Mountain-Telegraph Pass Trail,439
1/2/2019,E - Camelback - Cholla Trail ,
1/2/2019,E - Camelback - Echo Canyon Trail,1068
1/2/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,287
1/2/2019,E - Dreamy Draw Park - Trail 100,109
1/2/2019,E - Papago - 5K Fitness,142
1/2/2019,E - Papago - Archery,33
1/2/2019,E - Papago - Hole In The Rock,641
1/2/2019,E - PMP - 32nd St. Trailhead,324
1/2/2019,E - PMP - 40th St. Trailhead - East Access,230
1/2/2019,E - PMP - 40th St. Trailhead - Wash - West Access,169
1/2/2019,E - PMP - Piestewa Summit Trail,927
1/2/2019,E - PMP - Trail 200,
1/2/2019,E - PMP - Trail 304,219
1/2/2019,E - PMP - Trail8B - 7000 N. 36th,
1/2/2019,N - 25th St. and Acoma-Shadow Mtn N,48
1/2/2019,N - 7th Ave - Peoria-Mtn. View Park Access,99
1/2/2019,N - Apache Wash Replacement,
1/2/2019,N - Carefree Bridge - Cave Creek Wash,26
1/2/2019,N - Deem Hills - East - 39th Ave TH,75
1/2/2019,N - Deem Hills - West - 51st Ave TH,140
1/2/2019,N - Desert Hills - North - Ocotillo Trail,35
1/2/2019,N - Desert Hills - South - Sidewinder Trail,81
1/2/2019,N - Desert Vista TH - Hawk,126
1/2/2019,N - Lookout Mountain - 306 - North Side TH,508
1/2/2019,N - NMVC,149
1/2/2019,N - North Mountain - 44-Tower Road,0
1/2/2019,N - Shaw Butte TH,208
1/2/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/2/2019,N-NM TOWER TR 44 REPL,
1/2/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/2/2019,RIO SALADO 2875 S. 7th Street SE,
1/2/2019,RIO SALADO 3201 S. 16th Street SE,
1/2/2019,RIO-16ST-SE-REPL,
1/2/2019,RIO-7TH ST SE-REPL,
1/2/2019,RIO-CENT-NEGW-REPL,
1/2/2019,South Mountain- Desert Classic Trail,334
1/2/2019,South Mountain-620 Trailhead,156
1/2/2019,South Mountain-Hau'Pal,
1/2/2019,South Mountain-Holbert Trail,105
1/2/2019,South Mountain-Judith Tunell Trail,96
1/2/2019,South Mountain-Kiwanis Trail ,
1/2/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/2/2019,South Mountain-Mormon Trail,557
1/2/2019,South Mountain-Pima Dirt Rd. ,823
1/2/2019,South Mountain-Pima West Loop,460
1/2/2019,South Mountain-Telegraph Pass Trail,225
1/3/2019,E - Camelback - Cholla Trail ,
1/3/2019,E - Camelback - Echo Canyon Trail,1028
1/3/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,291
1/3/2019,E - Dreamy Draw Park - Trail 101,105
1/3/2019,E - Papago - 5K Fitness,173
1/3/2019,E - Papago - Archery,38
1/3/2019,E - Papago - Hole In The Rock,708
1/3/2019,E - PMP - 32nd St. Trailhead,296
1/3/2019,E - PMP - 40th St. Trailhead - East Access,208
1/3/2019,E - PMP - 40th St. Trailhead - Wash - West Access,204
1/3/2019,E - PMP - Piestewa Summit Trail,919
1/3/2019,E - PMP - Trail 408,
1/3/2019,E - PMP - Trail 512,226
1/3/2019,E - PMP - Trail8B - 7000 N. 36th,
1/3/2019,N - 25th St. and Acoma-Shadow Mtn N,27
1/3/2019,N - 7th Ave - Peoria-Mtn. View Park Access,99
1/3/2019,N - Apache Wash Replacement,
1/3/2019,N - Carefree Bridge - Cave Creek Wash,28
1/3/2019,N - Deem Hills - East - 39th Ave TH,87
1/3/2019,N - Deem Hills - West - 51st Ave TH,184
1/3/2019,N - Desert Hills - North - Ocotillo Trail,82
1/3/2019,N - Desert Hills - South - Sidewinder Trail,150
1/3/2019,N - Desert Vista TH - Hawk,134
1/3/2019,N - Lookout Mountain - 306 - North Side TH,459
1/3/2019,N - NMVC,170
1/3/2019,N - North Mountain - 44-Tower Road,0
1/3/2019,N - Shaw Butte TH,260
1/3/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/3/2019,N-NM TOWER TR 44 REPL,
1/3/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/3/2019,RIO SALADO 2875 S. 7th Street SE,
1/3/2019,RIO SALADO 3201 S. 16th Street SE,
1/3/2019,RIO-16ST-SE-REPL,
1/3/2019,RIO-7TH ST SE-REPL,
1/3/2019,RIO-CENT-NEGW-REPL,
1/3/2019,South Mountain- Desert Classic Trail,273
1/3/2019,South Mountain-620 Trailhead,192
1/3/2019,South Mountain-Hau'Pal,
1/3/2019,South Mountain-Holbert Trail,95
1/3/2019,South Mountain-Judith Tunell Trail,95
1/3/2019,South Mountain-Kiwanis Trail ,
1/3/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/3/2019,South Mountain-Mormon Trail,545
1/3/2019,South Mountain-Pima Dirt Rd. ,796
1/3/2019,South Mountain-Pima West Loop,591
1/3/2019,South Mountain-Telegraph Pass Trail,199
1/4/2019,E - Camelback - Cholla Trail ,
1/4/2019,E - Camelback - Echo Canyon Trail,1157
1/4/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,334
1/4/2019,E - Dreamy Draw Park - Trail 101,106
1/4/2019,E - Papago - 5K Fitness,183
1/4/2019,E - Papago - Archery,39
1/4/2019,E - Papago - Hole In The Rock,558
1/4/2019,E - PMP - 32nd St. Trailhead,356
1/4/2019,E - PMP - 40th St. Trailhead - East Access,265
1/4/2019,E - PMP - 40th St. Trailhead - Wash - West Access,244
1/4/2019,E - PMP - Piestewa Summit Trail,992
1/4/2019,E - PMP - Trail 408,
1/4/2019,E - PMP - Trail 512,246
1/4/2019,E - PMP - Trail8B - 7000 N. 36th,
1/4/2019,N - 25th St. and Acoma-Shadow Mtn N,36
1/4/2019,N - 7th Ave - Peoria-Mtn. View Park Access,106
1/4/2019,N - Apache Wash Replacement,
1/4/2019,N - Carefree Bridge - Cave Creek Wash,38
1/4/2019,N - Deem Hills - East - 39th Ave TH,93
1/4/2019,N - Deem Hills - West - 51st Ave TH,143
1/4/2019,N - Desert Hills - North - Ocotillo Trail,66
1/4/2019,N - Desert Hills - South - Sidewinder Trail,165
1/4/2019,N - Desert Vista TH - Hawk,121
1/4/2019,N - Lookout Mountain - 306 - North Side TH,467
1/4/2019,N - NMVC,166
1/4/2019,N - North Mountain - 44-Tower Road,0
1/4/2019,N - Shaw Butte TH,278
1/4/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/4/2019,N-NM TOWER TR 44 REPL,
1/4/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/4/2019,RIO SALADO 2875 S. 7th Street SE,
1/4/2019,RIO SALADO 3201 S. 16th Street SE,
1/4/2019,RIO-16ST-SE-REPL,
1/4/2019,RIO-7TH ST SE-REPL,
1/4/2019,RIO-CENT-NEGW-REPL,
1/4/2019,South Mountain- Desert Classic Trail,324
1/4/2019,South Mountain-620 Trailhead,155
1/4/2019,South Mountain-Hau'Pal,
1/4/2019,South Mountain-Holbert Trail,136
1/4/2019,South Mountain-Judith Tunell Trail,91
1/4/2019,South Mountain-Kiwanis Trail ,
1/4/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/4/2019,South Mountain-Mormon Trail,635
1/4/2019,South Mountain-Pima Dirt Rd. ,943
1/4/2019,South Mountain-Pima West Loop,720
1/4/2019,South Mountain-Telegraph Pass Trail,273
1/5/2019,E - Camelback - Cholla Trail ,
1/5/2019,E - Camelback - Echo Canyon Trail,1185
1/5/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,511
1/5/2019,E - Dreamy Draw Park - Trail 102,180
1/5/2019,E - Papago - 5K Fitness,345
1/5/2019,E - Papago - Archery,74
1/5/2019,E - Papago - Hole In The Rock,280
1/5/2019,E - PMP - 32nd St. Trailhead,462
1/5/2019,E - PMP - 40th St. Trailhead - East Access,402
1/5/2019,E - PMP - 40th St. Trailhead - Wash - West Access,251
1/5/2019,E - PMP - Piestewa Summit Trail,1299
1/5/2019,E - PMP - Trail 616,
1/5/2019,E - PMP - Trail 720,297
1/5/2019,E - PMP - Trail8B - 7000 N. 36th,
1/5/2019,N - 25th St. and Acoma-Shadow Mtn N,44
1/5/2019,N - 7th Ave - Peoria-Mtn. View Park Access,153
1/5/2019,N - Apache Wash Replacement,
1/5/2019,N - Carefree Bridge - Cave Creek Wash,62
1/5/2019,N - Deem Hills - East - 39th Ave TH,153
1/5/2019,N - Deem Hills - West - 51st Ave TH,213
1/5/2019,N - Desert Hills - North - Ocotillo Trail,148
1/5/2019,N - Desert Hills - South - Sidewinder Trail,261
1/5/2019,N - Desert Vista TH - Hawk,253
1/5/2019,N - Lookout Mountain - 306 - North Side TH,605
1/5/2019,N - NMVC,366
1/5/2019,N - North Mountain - 44-Tower Road,0
1/5/2019,N - Shaw Butte TH,344
1/5/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/5/2019,N-NM TOWER TR 44 REPL,
1/5/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/5/2019,RIO SALADO 2875 S. 7th Street SE,
1/5/2019,RIO SALADO 3201 S. 16th Street SE,
1/5/2019,RIO-16ST-SE-REPL,
1/5/2019,RIO-7TH ST SE-REPL,
1/5/2019,RIO-CENT-NEGW-REPL,
1/5/2019,South Mountain- Desert Classic Trail,354
1/5/2019,South Mountain-620 Trailhead,338
1/5/2019,South Mountain-Hau'Pal,
1/5/2019,South Mountain-Holbert Trail,201
1/5/2019,South Mountain-Judith Tunell Trail,157
1/5/2019,South Mountain-Kiwanis Trail ,
1/5/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/5/2019,South Mountain-Mormon Trail,1160
1/5/2019,South Mountain-Pima Dirt Rd. ,1463
1/5/2019,South Mountain-Pima West Loop,1008
1/5/2019,South Mountain-Telegraph Pass Trail,341
1/6/2019,E - Camelback - Cholla Trail ,
1/6/2019,E - Camelback - Echo Canyon Trail,581
1/6/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,339
1/6/2019,E - Dreamy Draw Park - Trail 102,105
1/6/2019,E - Papago - 5K Fitness,176
1/6/2019,E - Papago - Archery,60
1/6/2019,E - Papago - Hole In The Rock,254
1/6/2019,E - PMP - 32nd St. Trailhead,231
1/6/2019,E - PMP - 40th St. Trailhead - East Access,156
1/6/2019,E - PMP - 40th St. Trailhead - Wash - West Access,95
1/6/2019,E - PMP - Piestewa Summit Trail,717
1/6/2019,E - PMP - Trail 616,
1/6/2019,E - PMP - Trail 720,163
1/6/2019,E - PMP - Trail8B - 7000 N. 36th,
1/6/2019,N - 25th St. and Acoma-Shadow Mtn N,37
1/6/2019,N - 7th Ave - Peoria-Mtn. View Park Access,92
1/6/2019,N - Apache Wash Replacement,
1/6/2019,N - Carefree Bridge - Cave Creek Wash,2
1/6/2019,N - Deem Hills - East - 39th Ave TH,40
1/6/2019,N - Deem Hills - West - 51st Ave TH,85
1/6/2019,N - Desert Hills - North - Ocotillo Trail,38
1/6/2019,N - Desert Hills - South - Sidewinder Trail,49
1/6/2019,N - Desert Vista TH - Hawk,98
1/6/2019,N - Lookout Mountain - 306 - North Side TH,309
1/6/2019,N - NMVC,139
1/6/2019,N - North Mountain - 44-Tower Road,0
1/6/2019,N - Shaw Butte TH,84
1/6/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/6/2019,N-NM TOWER TR 44 REPL,
1/6/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/6/2019,RIO SALADO 2875 S. 7th Street SE,
1/6/2019,RIO SALADO 3201 S. 16th Street SE,
1/6/2019,RIO-16ST-SE-REPL,
1/6/2019,RIO-7TH ST SE-REPL,
1/6/2019,RIO-CENT-NEGW-REPL,
1/6/2019,South Mountain- Desert Classic Trail,234
1/6/2019,South Mountain-620 Trailhead,158
1/6/2019,South Mountain-Hau'Pal,
